Date,Category,Index
01-2019,UK,100
02-2019,UK,100
03-2019,UK,101
04-2019,UK,100
05-2019,UK,101
06-2019,UK,101
07-2019,UK,101
08-2019,UK,101
09-2019,UK,101
10-2019,UK,101
11-2019,UK,101
12-2019,UK,101
01-2020,UK,101
02-2020,UK,100
03-2020,UK,93
04-2020,UK,75
05-2020,UK,77
06-2020,UK,85
07-2020,UK,91
08-2020,UK,94
09-2020,UK,95
10-2020,UK,96
11-2020,UK,94
12-2020,UK,95
01-2021,UK,92
02-2021,UK,93
03-2021,UK,96
04-2021,UK,98
05-2021,UK,99
06-2021,UK,99
07-2021,UK,99
08-2021,UK,99
09-2021,UK,100
10-2021,UK,101
11-2021,UK,101
12-2021,UK,101
01-2022,UK,102
02-2022,UK,102
03-2022,UK,102
04-2022,UK,102
05-2022,UK,102
06-2022,UK,101
01-2019,"Music, performing and visual arts",100
02-2019,"Music, performing and visual arts",102
03-2019,"Music, performing and visual arts",102
04-2019,"Music, performing and visual arts",102
05-2019,"Music, performing and visual arts",104
06-2019,"Music, performing and visual arts",107
07-2019,"Music, performing and visual arts",108
08-2019,"Music, performing and visual arts",108
09-2019,"Music, performing and visual arts",102
10-2019,"Music, performing and visual arts",98
11-2019,"Music, performing and visual arts",102
12-2019,"Music, performing and visual arts",108
01-2020,"Music, performing and visual arts",105
02-2020,"Music, performing and visual arts",105
03-2020,"Music, performing and visual arts",81
04-2020,"Music, performing and visual arts",47
05-2020,"Music, performing and visual arts",37
06-2020,"Music, performing and visual arts",41
07-2020,"Music, performing and visual arts",46
08-2020,"Music, performing and visual arts",53
09-2020,"Music, performing and visual arts",57
10-2020,"Music, performing and visual arts",62
11-2020,"Music, performing and visual arts",66
12-2020,"Music, performing and visual arts",75
01-2021,"Music, performing and visual arts",69
02-2021,"Music, performing and visual arts",66
03-2021,"Music, performing and visual arts",71
04-2021,"Music, performing and visual arts",76
05-2021,"Music, performing and visual arts",79
06-2021,"Music, performing and visual arts",77
07-2021,"Music, performing and visual arts",81
08-2021,"Music, performing and visual arts",94
09-2021,"Music, performing and visual arts",100
10-2021,"Music, performing and visual arts",113
11-2021,"Music, performing and visual arts",119
12-2021,"Music, performing and visual arts",112
01-2022,"Music, performing and visual arts",89
02-2022,"Music, performing and visual arts",112
03-2022,"Music, performing and visual arts",116
04-2022,"Music, performing and visual arts",112
05-2022,"Music, performing and visual arts",115
06-2022,"Music, performing and visual arts",118
01-2019,"Museums, Galleries and Libraries",100
02-2019,"Museums, Galleries and Libraries",108
03-2019,"Museums, Galleries and Libraries",96
04-2019,"Museums, Galleries and Libraries",96
05-2019,"Museums, Galleries and Libraries",96
06-2019,"Museums, Galleries and Libraries",98
07-2019,"Museums, Galleries and Libraries",104
08-2019,"Museums, Galleries and Libraries",103
09-2019,"Museums, Galleries and Libraries",101
10-2019,"Museums, Galleries and Libraries",102
11-2019,"Museums, Galleries and Libraries",103
12-2019,"Museums, Galleries and Libraries",106
01-2020,"Museums, Galleries and Libraries",101
02-2020,"Museums, Galleries and Libraries",97
03-2020,"Museums, Galleries and Libraries",78
04-2020,"Museums, Galleries and Libraries",49
05-2020,"Museums, Galleries and Libraries",49
06-2020,"Museums, Galleries and Libraries",53
07-2020,"Museums, Galleries and Libraries",70
08-2020,"Museums, Galleries and Libraries",68
09-2020,"Museums, Galleries and Libraries",72
10-2020,"Museums, Galleries and Libraries",73
11-2020,"Museums, Galleries and Libraries",54
12-2020,"Museums, Galleries and Libraries",54
01-2021,"Museums, Galleries and Libraries",56
02-2021,"Museums, Galleries and Libraries",55
03-2021,"Museums, Galleries and Libraries",60
04-2021,"Museums, Galleries and Libraries",66
05-2021,"Museums, Galleries and Libraries",75
06-2021,"Museums, Galleries and Libraries",84
07-2021,"Museums, Galleries and Libraries",86
08-2021,"Museums, Galleries and Libraries",96
09-2021,"Museums, Galleries and Libraries",95
10-2021,"Museums, Galleries and Libraries",94
11-2021,"Museums, Galleries and Libraries",96
12-2021,"Museums, Galleries and Libraries",97
01-2022,"Museums, Galleries and Libraries",93
02-2022,"Museums, Galleries and Libraries",91
03-2022,"Museums, Galleries and Libraries",99
04-2022,"Museums, Galleries and Libraries",99
05-2022,"Museums, Galleries and Libraries",98
06-2022,"Museums, Galleries and Libraries",105
01-2019,"Film, TV, radio and photography",100
02-2019,"Film, TV, radio and photography",98
03-2019,"Film, TV, radio and photography",98
04-2019,"Film, TV, radio and photography",99
05-2019,"Film, TV, radio and photography",97
06-2019,"Film, TV, radio and photography",99
07-2019,"Film, TV, radio and photography",95
08-2019,"Film, TV, radio and photography",95
09-2019,"Film, TV, radio and photography",98
10-2019,"Film, TV, radio and photography",99
11-2019,"Film, TV, radio and photography",97
12-2019,"Film, TV, radio and photography",98
01-2020,"Film, TV, radio and photography",91
02-2020,"Film, TV, radio and photography",93
03-2020,"Film, TV, radio and photography",87
04-2020,"Film, TV, radio and photography",70
05-2020,"Film, TV, radio and photography",65
06-2020,"Film, TV, radio and photography",75
07-2020,"Film, TV, radio and photography",82
08-2020,"Film, TV, radio and photography",80
09-2020,"Film, TV, radio and photography",83
10-2020,"Film, TV, radio and photography",97
11-2020,"Film, TV, radio and photography",91
12-2020,"Film, TV, radio and photography",87
01-2021,"Film, TV, radio and photography",88
02-2021,"Film, TV, radio and photography",89
03-2021,"Film, TV, radio and photography",90
04-2021,"Film, TV, radio and photography",97
05-2021,"Film, TV, radio and photography",94
06-2021,"Film, TV, radio and photography",101
07-2021,"Film, TV, radio and photography",99
08-2021,"Film, TV, radio and photography",104
09-2021,"Film, TV, radio and photography",98
10-2021,"Film, TV, radio and photography",109
11-2021,"Film, TV, radio and photography",111
12-2021,"Film, TV, radio and photography",104
01-2022,"Film, TV, radio and photography",107
02-2022,"Film, TV, radio and photography",104
03-2022,"Film, TV, radio and photography",108
04-2022,"Film, TV, radio and photography",106
05-2022,"Film, TV, radio and photography",108
06-2022,"Film, TV, radio and photography",108
01-2019,Design and designer fashion,100
02-2019,Design and designer fashion,101
03-2019,Design and designer fashion,104
04-2019,Design and designer fashion,104
05-2019,Design and designer fashion,106
06-2019,Design and designer fashion,103
07-2019,Design and designer fashion,103
08-2019,Design and designer fashion,105
09-2019,Design and designer fashion,104
10-2019,Design and designer fashion,106
11-2019,Design and designer fashion,102
12-2019,Design and designer fashion,100
01-2020,Design and designer fashion,100
02-2020,Design and designer fashion,101
03-2020,Design and designer fashion,99
04-2020,Design and designer fashion,77
05-2020,Design and designer fashion,72
06-2020,Design and designer fashion,72
07-2020,Design and designer fashion,80
08-2020,Design and designer fashion,87
09-2020,Design and designer fashion,89
10-2020,Design and designer fashion,93
11-2020,Design and designer fashion,88
12-2020,Design and designer fashion,87
01-2021,Design and designer fashion,88
02-2021,Design and designer fashion,88
03-2021,Design and designer fashion,87
04-2021,Design and designer fashion,91
05-2021,Design and designer fashion,92
06-2021,Design and designer fashion,94
07-2021,Design and designer fashion,96
08-2021,Design and designer fashion,101
09-2021,Design and designer fashion,100
10-2021,Design and designer fashion,105
11-2021,Design and designer fashion,110
12-2021,Design and designer fashion,107
01-2022,Design and designer fashion,93
02-2022,Design and designer fashion,93
03-2022,Design and designer fashion,92
04-2022,Design and designer fashion,91
05-2022,Design and designer fashion,94
06-2022,Design and designer fashion,96
